Benchmark,Algorithm,BestX,BestY,BestZ,BestValue
ackley_function,Base PSO,1.591524029697209e-16,-2.2287669365745024e-18,1.0012965514405723e-16,4.440892098500626e-16
ackley_function,PSO with Dynamic Weight,-0.02482628127144031,0.051326507003393335,-0.04261161513516771,0.25222916290316677
branin_rcos_function,Base PSO,3.141592644145742,2.2749999871964413,6.9627794507130165,0.39788735772973816
branin_rcos_function,PSO with Dynamic Weight,3.141592646293558,2.274999991501539,-3.686656505293224,0.39788735772973816
goldstein_price_function,Base PSO,3.1126118423346406e-10,-1.000000000639803,4.706164454637781,2.999999999999922
goldstein_price_function,PSO with Dynamic Weight,1.8747929291341456,0.25458782246756056,2.451323532488255,85.21384264459621
griewank_function,Base PSO,3.1400226243313893,-1.587902285623961e-10,5.43324817986436,0.00985728460782076
griewank_function,PSO with Dynamic Weight,3.1397839207734592,1.4738980399126503e-05,5.433731244884988,0.009857352116036111
levy_function,Base PSO,1.0,1.0000000000000004,1.0000000000000004,1.4997597826618576e-32
levy_function,PSO with Dynamic Weight,1.0136216329055014,1.0054443378829163,0.648015607573281,0.010103140988075706
michalewicz_function,Base PSO,2.2029055203537324,1.5707963295972462,3.637329127631423,-1.8013034100985537
michalewicz_function,PSO with Dynamic Weight,33.17584816840324,-17.69869433347297,33.76288463255472,-2.5295779960546025
rastrigin_function,Base PSO,1.0168240422490166e-09,-0.9949586385949591,0.9949586394262206,1.9899181141865796
rastrigin_function,PSO with Dynamic Weight,0.9957910209098291,0.0003493083448503963,-0.0009272331110083718,0.995291230453617
rosenbrock_function,Base PSO,1.1869063992513043,1.4089952384996616,1.9834498376938907,0.20254769881423682
rosenbrock_function,PSO with Dynamic Weight,1.1653794774469621,1.3578582649308444,1.8445238137090931,0.15547467719940697
six_hump_camelback_function,Base PSO,-0.08984201185932172,0.7126564035080902,3.69436055071444,-1.0316284534898774
six_hump_camelback_function,PSO with Dynamic Weight,0.08984201671301258,-0.7126564023750134,4.035837749900655,-1.0316284534898774
sphere_function,Base PSO,1.3560587751238928e-21,2.1825996956426688e-21,-1.3939041785177364e-20,2.0089952272193054e-40
sphere_function,PSO with Dynamic Weight,0.12372054872329995,0.1132435351913274,-0.08796687359801043,0.03586904328963219
